sequence_of_nodes,cost
"-1,2142,-2",325.964483072591
"-1,2160,-2",288.14672820099844
"-1,2222,-2",506.7947229347018
"-1,2236,-2",1844.2819951068723
"-1,2268,-2",590.0890363670873
"-1,2291,-2",443.53577467067066
"-1,2310,-2",436.3782183402419
"-1,2315,-2",192.97995273662355
"-1,2324,-2",487.8756069932655
"-1,2329,-2",467.89450092476443
"-1,2331,-2",551.4357236900718
"-1,2383,-2",271.82429688032073
"-1,2391,-2",472.34932392877886
"-1,2446,-2",375.30548135824506
"-1,2466,-2",518.1946788731392
"-1,2526,-2",288.09565428802233
"-1,2532,-2",341.18087852523297
"-1,2650,-2",306.2139300043326
"-1,2663,-2",596.0382671743248
"-1,2710,-2",243.3943460988217
"-1,2750,-2",863.7693350707823
"-1,2811,-2",574.0306963713748
"-1,2837,-2",454.0581766951618
"-1,2884,-2",482.1889321699448
"-1,2977,-2",956.6384303054426
"-1,720,371,1371,1720,-2",1181.7608876696636
"-1,950,399,1399,1950,-2",1079.065251391317
"-1,260,997,1997,1260,-2",1039.1327192295753
"-1,571,792,1571,1792,-2",1256.3447916495184
"-1,583,778,1583,1778,-2",1130.2169672961543
"-1,323,364,423,1364,1423,1323,-2",1580.8929633977698
"-1,660,861,230,1230,1861,1660,-2",984.8255491859236
"-1,332,831,721,1721,1332,1831,-2",1302.611835068065
"-1,358,767,392,1358,1392,1767,-2",908.4683086658436
"-1,428,70,1070,1428,-2",842.4463149190768
"-1,110,647,1110,1647,-2",1032.6193991485986
"-1,5,879,1879,1005,-2",566.1246640132758
"-1,99,519,1519,1099,-2",608.8484918419675
"-1,981,89,418,1418,1981,1089,-2",1100.6018527136184
"-1,848,481,1848,1481,-2",1031.649471436425
"-1,272,480,369,1369,1480,1272,-2",853.802014619642
"-1,487,176,643,1643,1176,1487,-2",619.3491792935027
"-1,45,57,42,1042,1057,1045,-2",876.0293918582731
"-1,261,427,1261,1427,-2",844.6764033657174
"-1,129,864,1129,1864,-2",859.1365331574822
"-1,1000,32,1032,2000,-2",1360.9946137148017
"-1,135,121,1135,155,1155,1121,-2",2414.758295480765
"-1,461,190,741,1741,1190,1461,-2",867.6951616268027
"-1,633,94,564,1564,1633,1094,-2",1419.3057839895728
"-1,843,986,1843,1986,-2",1156.7977975694723
"-1,493,463,406,1463,1493,1406,-2",1312.6727682739904
"-1,141,838,182,1182,1141,1838,-2",1097.0778571005796
"-1,550,866,511,1511,1866,1550,-2",1472.5540147214156
"-1,853,304,888,1853,1304,1888,-2",1364.4103955682374
"-1,589,443,188,1443,1589,1188,-2",1435.3051623832898
"-1,704,737,740,1704,1740,1737,-2",2056.969122808236
"-1,389,490,909,1909,1490,1389,-2",990.8962256204795
"-1,275,983,606,1275,1606,1983,-2",2075.8982946858773
"-1,252,734,287,1287,1734,1252,-2",2101.579691236969
"-1,297,479,482,1482,1479,1297,-2",1412.899742622618
"-1,38,367,66,1066,1038,1367,-2",1753.785957084902
"-1,946,900,854,1854,1900,1946,-2",1295.9065151069444
"-1,286,658,1658,1286,-2",1125.6578271623428
"-1,570,240,35,1570,1035,1240,-2",1358.3458794773044
"-1,150,813,136,1136,1813,1150,-2",1954.1024674168034
"-1,472,686,659,1686,1659,1472,-2",2114.255836138599
"-1,34,762,84,1084,1034,1762,-2",1346.9123058903137
"-1,421,949,549,1549,1421,1949,-2",1804.552301493048
"-1,787,855,934,1934,1787,1855,-2",976.8920928219638
"-1,793,818,747,1793,1747,1818,-2",1453.2418372103027
"-1,555,559,1559,1555,-2",929.2656095350379
"-1,826,210,872,1872,1210,1826,-2",1875.2372225429117
"-1,14,201,354,1354,1014,1201,-2",1622.9455571799995
"-1,365,36,41,1041,1036,1365,-2",1730.377849054056
"-1,849,563,577,1563,1849,1577,-2",2262.7380343072496
"-1,263,320,29,1029,1320,1263,-2",934.3161567046482
"-1,639,675,235,1675,1235,1639,-2",1125.3390818037133
"-1,492,280,458,1458,1280,1492,-2",2364.1247787444304
"-1,505,21,507,1507,1505,1021,-2",1212.29601987968
"-1,771,91,547,1547,1091,1771,-2",1145.9859626887815
"-1,924,378,696,1378,1696,1924,-2",986.0092952735035
"-1,881,668,183,1183,1668,1881,-2",1971.2612133748653
"-1,805,766,898,1898,1766,1805,-2",1759.9012714032951
"-1,330,551,1551,1330,-2",1488.5048432259466
"-1,106,454,157,1157,1454,1106,-2",1605.555211024017
"-1,390,411,817,1817,1411,1390,-2",1908.9476212373631
"-1,243,245,731,1243,1245,1731,-2",2580.485935614538
"-1,609,886,865,1886,1609,1865,-2",2521.2354394625413
"-1,353,545,85,1353,1085,1545,-2",1489.0674850318317
"-1,262,100,255,1255,1100,1262,-2",1014.8098733443971
"-1,39,852,751,1852,1039,1751,-2",2017.9976565893078
"-1,869,205,294,1205,1869,1294,-2",1424.3741953798854
"-1,229,296,916,1916,1229,1296,-2",830.1835005484854
"-1,345,951,897,1897,1951,1345,-2",1935.1611755681713
"-1,785,992,552,1785,1552,1992,-2",1040.823760236445
"-1,253,439,1439,195,1195,1253,-2",1237.0425366651114
"-1,4,625,22,1022,1625,1004,-2",1960.5442972686058
"-1,575,576,568,1576,1575,1568,-2",1797.9347668118833
"-1,827,231,217,1827,1231,1217,-2",1908.3594790021118
"-1,765,282,876,1765,1282,1876,-2",1563.5367522219449
"-1,74,96,495,1096,1074,1495,-2",1136.6905458455533
"-1,777,107,167,1777,1107,1167,-2",1030.2709828882826
"-1,476,213,444,1213,1444,1476,-2",834.2482138728965
"-1,661,73,48,1661,1048,1073,-2",1850.371286379067
"-1,682,161,913,1161,1913,1682,-2",1810.762970665257
"-1,410,936,947,1936,1410,1947,-2",2638.440869384353
"-1,350,491,400,1400,1350,1491,-2",2210.613569495381
"-1,75,735,362,1362,1075,1735,-2",1888.246775495821
"-1,814,212,257,1212,1257,1814,-2",1729.1228606793422
"-1,494,851,95,1851,1095,1494,-2",1398.324037672131
"-1,404,829,501,1829,1404,1501,-2",1170.8366058095953
"-1,163,620,361,1620,1361,1163,-2",2234.3018507584507
"-1,377,649,975,1377,1649,1975,-2",2059.555077551095
"-1,348,412,424,1424,1348,1412,-2",1786.5333815520262
"-1,676,351,386,1386,1351,1676,-2",2004.0330973748232
"-1,308,878,579,1308,1878,1579,-2",873.4257263256608
"-1,441,594,615,1441,1594,1615,-2",816.9038112877796
"-1,736,194,376,1376,1194,1736,-2",1456.541885306964
"-1,86,187,761,1761,1187,1086,-2",1604.7149808955887
"-1,681,822,882,1882,1681,1822,-2",1992.593041793887
"-1,270,728,313,1313,1728,1270,-2",1762.7530785595086
"-1,207,901,943,1901,1943,1207,-2",1303.7183752176609
"-1,179,279,717,1717,1179,1279,-2",2344.2128008970712
"-1,834,666,667,1834,1667,1666,-2",1599.9706076949426
