sequence_of_nodes,cost
"-1,331,-2",883.4554915
"-1,344,-2",0
"-1,375,-2",0
"-1,377,-2",0
"-1,381,-2",0
"-1,382,-2",1067.744265
"-1,383,-2",0
"-1,385,-2",0
"-1,387,-2",0
"-1,389,-2",0
"-1,391,-2",0
"-1,393,-2",0
"-1,395,-2",0
"-1,399,-2",0
"-1,405,-2",0
"-1,406,-2",0
"-1,408,-2",0
"-1,409,-2",0
"-1,411,-2",0
"-1,412,-2",0
"-1,415,-2",0
"-1,416,-2",0
"-1,419,-2",0
"-1,421,-2",0
"-1,422,-2",0
"-1,423,-2",0
"-1,427,-2",0
"-1,429,-2",0
"-1,430,-2",0
"-1,437,-2",0
"-1,439,-2",0
"-1,441,-2",0
"-1,443,-2",0
"-1,447,-2",0
"-1,451,-2",0
"-1,457,-2",0
"-1,458,-2",347.1768595
"-1,469,-2",391.6644346
"-1,127,27,186,286,-2",1125.99235
"-1,148,96,10,307,169,255,-2",1167.744265
"-1,12,131,107,171,266,290,-2",731.1414361
"-1,85,12,17,244,176,171,-2",731.1414361
"-1,138,11,2,170,161,297,-2",1167.744265
"-1,157,54,52,316,213,211,-2",491.6644346
"-1,21,135,137,180,294,296,-2",491.6644346
"-1,154,142,145,313,301,304,-2",491.6644346
"-1,61,40,46,199,205,220,-2",983.4020991
"-1,143,50,53,302,209,212,-2",447.1768595
"-1,83,22,39,181,198,242,-2",983.4020991
"-1,66,118,23,182,225,277,-2",1167.744265
"-1,86,37,24,196,183,245,-2",1167.744265
"-1,68,29,28,187,188,227,-2",1167.744265
"-1,32,31,30,189,190,191,-2",1167.744265
"-1,153,70,33,312,192,229,-2",1167.744265
"-1,38,128,34,197,193,287,-2",1167.744265
"-1,115,80,41,200,239,274,-2",1167.744265
"-1,116,72,42,201,231,275,-2",1167.744265
"-1,126,130,44,203,285,289,-2",1167.744265
"-1,58,78,56,215,217,237,-2",1167.744265
"-1,43,106,82,202,241,265,-2",1167.744265
"-1,108,20,6,165,179,267,-2",1167.744265
"-1,144,156,36,303,315,195,-2",983.4020991
"-1,51,49,210,208,-2",983.4020991
"-1,150,124,1,283,309,160,-2",983.4020991
"-1,149,55,79,238,308,214,-2",447.1768595
"-1,147,47,3,306,206,162,-2",983.4020991
"-1,134,117,8,276,293,167,-2",983.4020991
"-1,152,158,9,311,317,168,-2",983.4020991
"-1,92,62,7,166,221,251,-2",1167.744265
"-1,141,159,102,261,300,318,-2",1167.744265
"-1,110,74,16,175,233,269,-2",1167.744265
"-1,89,84,18,177,243,248,-2",1167.744265
"-1,113,99,4,163,258,272,-2",1167.744265
"-1,45,48,14,173,204,207,-2",1167.744265
"-1,95,132,15,174,254,291,-2",1167.744265
"-1,25,120,5,164,184,279,-2",1167.744265
"-1,76,122,60,219,235,281,-2",1167.744265
"-1,35,136,194,295,-2",447.1768595
"-1,155,146,314,305,-2",447.1768595
"-1,114,100,19,178,259,273,-2",983.4020991
,44250
