sequence_of_nodes,cost
"-1,331,-2",883.4554915
"-1,344,-2",0
"-1,375,-2",0
"-1,377,-2",0
"-1,381,-2",0
"-1,383,-2",0
"-1,385,-2",0
"-1,387,-2",0
"-1,389,-2",0
"-1,391,-2",0
"-1,393,-2",0
"-1,395,-2",0
"-1,399,-2",0
"-1,405,-2",0
"-1,406,-2",0
"-1,408,-2",0
"-1,409,-2",0
"-1,411,-2",0
"-1,412,-2",0
"-1,415,-2",0
"-1,416,-2",0
"-1,419,-2",0
"-1,421,-2",0
"-1,422,-2",0
"-1,423,-2",0
"-1,427,-2",0
"-1,429,-2",0
"-1,430,-2",0
"-1,437,-2",0
"-1,439,-2",0
"-1,441,-2",0
"-1,443,-2",0
"-1,447,-2",0
"-1,451,-2",0
"-1,457,-2",0
"-1,56,130,11,170,215,289,-2",1167.7442649652658
"-1,141,116,58,217,300,275,-2",1167.7442649652658
"-1,89,92,64,223,248,251,-2",1167.7442649652658
"-1,153,108,80,267,312,239,-2",1167.7442649652658
"-1,131,85,12,171,244,290,-2",731.1414361471724
"-1,107,17,52,211,176,266,-2",871.7893552471152
"-1,154,142,145,313,301,304,-2",491.6644346390442
"-1,149,50,53,308,209,212,-2",447.17685945860393
"-1,21,135,54,180,294,213,-2",491.6644346390442
"-1,157,137,151,316,296,310,-2",491.6644346390442
"-1,84,96,18,177,243,255,-2",1167.7442649652658
"-1,143,55,79,238,302,214,-2",447.17685945860393
"-1,114,134,8,273,293,167,-2",983.4020991396977
"-1,100,147,3,259,306,162,-2",983.4020991396977
"-1,150,61,36,309,195,220,-2",983.4020991396977
"-1,132,32,5,164,191,291,-2",1167.7442649652658
"-1,31,74,6,165,190,233,-2",1167.7442649652658
"-1,29,60,10,169,188,219,-2",1167.7442649652658
"-1,128,37,30,189,196,287,-2",1167.7442649652658
"-1,42,126,34,201,193,285,-2",1167.7442649652658
"-1,82,102,45,204,241,261,-2",1167.7442649652658
"-1,118,66,38,197,225,277,-2",1167.7442649652658
"-1,113,16,28,187,272,175,-2",1167.7442649652658
"-1,47,40,46,206,199,205,-2",983.4020991396977
"-1,51,49,1,210,208,160,-2",983.4020991396977
"-1,152,158,9,311,317,168,-2",983.4020991396977
"-1,156,124,22,315,181,283,-2",983.4020991396977
"-1,76,2,122,235,281,161,-2",1167.7442649652658
"-1,117,83,19,178,242,276,-2",983.4020991396977
"-1,115,44,14,173,203,274,-2",1167.7442649652658
"-1,120,99,7,166,258,279,-2",1167.7442649652658
"-1,155,27,127,314,186,286,-2",1212.601726417798
"-1,72,25,24,183,184,231,-2",1167.7442649652658
"-1,43,86,33,192,202,245,-2",1167.7442649652658
"-1,70,68,41,200,227,229,-2",1167.7442649652658
"-1,106,138,48,207,265,297,-2",1167.7442649652658
"-1,95,159,110,254,269,318,-2",1167.7442649652658
"-1,78,15,20,179,174,237,-2",1167.7442649652658
"-1,35,140,194,299,-2",447.17685945860393
"-1,136,146,295,305,-2",447.17685945860393
"-1,62,23,182,221,-2",1167.7442649652658
"-1,148,4,307,163,-2",1167.7442649652658
"-1,144,39,303,198,-2",983.4020991396977
