sequence_of_nodes,cost
"-1,331,-2",983.4554915
"-1,405,-2",47.47759278
"-1,416,-2",47.47759278
"-1,125,26,185,284,-2",88.94842649
"-1,94,63,222,253,-2",47.47759278
"-1,123,71,230,282,-2",47.47759278
"-1,157,135,54,316,294,213,-2",491.6644346
"-1,97,104,91,250,256,263,-2",7.396112696
"-1,88,101,73,232,260,247,-2",7.396112696
"-1,12,85,17,176,244,171,-2",731.1414361
"-1,131,107,17,176,266,290,-2",731.1414361
"-1,90,67,226,249,-2",47.47759278
"-1,128,16,7,166,175,287,-2",1167.744265
"-1,154,142,145,313,301,304,-2",491.6644346
"-1,121,140,149,280,299,308,-2",473.2116044
"-1,105,77,81,236,240,264,-2",47.47759278
"-1,106,48,14,173,207,265,-2",1167.744265
"-1,21,135,52,180,294,211,-2",491.6644346
"-1,35,50,53,194,209,212,-2",447.1768595
"-1,51,158,9,210,317,168,-2",983.4020991
"-1,35,55,79,238,194,214,-2",447.1768595
"-1,133,119,75,234,278,292,-2",7.396112696
"-1,112,59,218,271,-2",47.47759278
"-1,83,19,3,178,162,242,-2",983.4020991
"-1,103,155,136,262,314,295,-2",473.2116044
"-1,135,137,151,294,296,310,-2",491.6644346
"-1,129,143,146,288,302,305,-2",473.2116044
"-1,88,93,69,228,247,252,-2",7.396112696
"-1,33,70,56,192,215,229,-2",1167.744265
"-1,111,65,57,216,224,270,-2",7.396112696
"-1,152,114,1,273,311,160,-2",983.4020991
"-1,147,47,8,306,206,167,-2",983.4020991
"-1,49,61,39,208,198,220,-2",983.4020991
"-1,117,134,40,276,293,199,-2",983.4020991
"-1,100,22,46,181,205,259,-2",983.4020991
"-1,144,150,36,303,309,195,-2",983.4020991
"-1,58,6,4,163,165,217,-2",1167.744265
"-1,156,124,22,315,181,283,-2",983.4020991
"-1,43,30,29,188,189,202,-2",1167.744265
"-1,74,41,38,200,197,233,-2",1167.744265
"-1,84,82,44,203,241,243,-2",1167.744265
"-1,95,159,72,231,254,318,-2",1167.744265
"-1,126,68,18,177,227,285,-2",1167.744265
"-1,32,92,10,169,191,251,-2",1167.744265
"-1,153,80,20,312,179,239,-2",1167.744265
"-1,132,31,28,187,190,291,-2",1167.744265
"-1,139,109,57,216,268,298,-2",7.396112696
"-1,127,27,15,186,286,174,-2",1212.530716
"-1,78,110,11,170,237,269,-2",1167.744265
"-1,64,120,34,193,223,279,-2",1167.744265
"-1,116,66,42,201,225,275,-2",1167.744265
"-1,141,113,118,272,300,277,-2",1167.744265
"-1,76,138,5,164,235,297,-2",1167.744265
"-1,102,89,2,161,248,261,-2",1167.744265
"-1,37,122,23,196,182,281,-2",1167.744265
"-1,62,148,24,221,307,183,-2",1167.744265
"-1,60,86,25,184,219,245,-2",1167.744265
"-1,96,130,45,204,255,289,-2",1167.744265
"-1,99,115,108,258,267,274,-2",1167.744265
,44113.32059
