sequence_of_nodes,cost
"-1,127,27,186,286,-2",1125.992350180305
"-1,133,119,278,292,-2",7.396112695894383
"-1,125,26,185,284,-2",88.94842648883443
"-1,113,141,11,272,300,170,-2",1167.7442649652658
"-1,131,85,12,171,244,290,-2",731.1414361471724
"-1,17,107,52,211,176,266,-2",871.7893552471152
"-1,157,135,54,316,294,213,-2",491.6644346390442
"-1,142,151,145,301,310,304,-2",491.6644346390442
"-1,21,154,137,180,313,296,-2",491.6644346390442
"-1,73,104,57,216,232,263,-2",7.396112695894383
"-1,101,93,65,224,252,260,-2",7.396112695894383
"-1,75,91,69,228,234,250,-2",7.396112695894383
"-1,114,61,220,273,-2",983.4020991396977
"-1,105,98,257,264,-2",47.47759278379228
"-1,129,121,280,288,-2",47.47759278379228
"-1,45,7,6,165,204,166,-2",1167.7442649652658
"-1,87,149,146,246,308,305,-2",473.2116044303484
"-1,156,22,36,315,181,195,-2",983.4020991396977
"-1,112,35,143,271,194,302,-2",473.2116044303484
"-1,94,71,81,230,240,253,-2",47.47759278379228
"-1,103,155,136,262,314,295,-2",473.2116044303484
"-1,90,63,67,226,222,249,-2",47.47759278379228
"-1,140,79,55,299,238,214,-2",447.17685945860393
"-1,29,33,14,173,188,192,-2",1167.7442649652658
"-1,115,108,20,179,267,274,-2",1167.7442649652658
"-1,64,62,28,187,221,223,-2",1167.7442649652658
"-1,84,34,32,191,193,243,-2",1167.7442649652658
"-1,72,130,44,203,231,289,-2",1167.7442649652658
"-1,106,82,48,207,241,265,-2",1167.7442649652658
"-1,102,99,60,219,258,261,-2",1167.7442649652658
"-1,148,110,70,269,307,229,-2",1167.7442649652658
"-1,144,158,8,303,317,167,-2",983.4020991396977
"-1,100,147,9,259,306,168,-2",983.4020991396977
"-1,139,109,88,247,268,298,-2",7.396112695894383
"-1,47,124,46,206,205,283,-2",983.4020991396977
"-1,117,19,3,178,162,276,-2",983.4020991396977
"-1,38,128,18,177,197,287,-2",1167.7442649652658
"-1,92,118,10,169,251,277,-2",1167.7442649652658
"-1,123,77,59,218,236,282,-2",47.47759278379228
"-1,74,56,4,163,215,233,-2",1167.7442649652658
"-1,13,159,116,172,275,318,-2",2114.7968516916367
"-1,83,51,40,210,199,242,-2",983.4020991396977
"-1,152,49,39,311,208,198,-2",983.4020991396977
"-1,89,132,78,237,248,291,-2",1167.7442649652658
"-1,150,134,1,309,293,160,-2",983.4020991396977
"-1,122,31,16,175,190,281,-2",1167.7442649652658
"-1,43,86,24,183,202,245,-2",1167.7442649652658
"-1,25,68,23,182,184,227,-2",1167.7442649652658
"-1,153,80,37,312,196,239,-2",1167.7442649652658
"-1,76,126,66,225,235,285,-2",1167.7442649652658
"-1,120,96,5,164,255,279,-2",1167.7442649652658
"-1,30,58,15,174,189,217,-2",1167.7442649652658
"-1,42,138,2,201,161,297,-2",1167.7442649652658
"-1,95,41,200,254,-2",1167.7442649652658
"-1,50,53,209,212,-2",447.17685945860393
"-1,97,111,256,270,-2",7.396112695894383
