sequence_of_nodes,cost
"-1,813,-2",1030.2168514459372
"-1,919,-2",614.9701149052797
"-1,927,-2",997.0341912352283
"-1,942,-2",425.964483072591
"-1,960,-2",388.1467282009985
"-1,970,-2",736.1436257128847
"-1,1030,-2",361.5591156361182
"-1,1036,-2",1944.2819951068723
"-1,1060,-2",930.7559133287805
"-1,1091,-2",543.5357746706707
"-1,1129,-2",567.8945009247643
"-1,1131,-2",651.4357236900718
"-1,1183,-2",371.82429688032073
"-1,1189,-2",924.5701864957897
"-1,1191,-2",572.3493239287789
"-1,110,89,489,510,-2",1013.4401470943216
"-1,74,96,496,474,-2",1018.7050336882213
"-1,320,29,429,720,-2",597.6714697158848
"-1,272,369,769,672,-2",853.802014619642
"-1,17,61,384,784,461,417,-2",1949.4962241933786
"-1,263,261,663,661,-2",862.4768270148676
"-1,51,83,176,576,451,483,-2",2034.9141605137831
"-1,182,141,582,541,-2",728.2178254657867
"-1,188,312,712,588,-2",1138.298481066928
"-1,134,15,415,534,-2",2576.7263631567434
"-1,319,33,52,433,719,452,-2",1878.201384630221
"-1,262,100,255,500,655,662,-2",1014.8098733443971
"-1,229,296,310,696,629,710,-2",866.7444691401531
"-1,34,84,85,485,434,484,-2",1502.7095484421152
"-1,258,186,586,658,-2",1147.592422323447
"-1,146,256,656,546,-2",1302.5462206983093
"-1,73,48,196,596,448,473,-2",2002.4301305173021
"-1,302,284,233,633,684,702,-2",2264.016285702134
"-1,121,77,108,521,508,477,-2",2746.6222338924526
"-1,351,386,87,487,786,751,-2",2271.626990057049
"-1,156,92,143,543,492,556,-2",1810.3169268223162
"-1,38,367,66,466,438,767,-2",1753.785957084902
"-1,172,282,572,330,730,682,-2",1890.1377313364524
"-1,247,2,315,715,647,402,-2",1809.5546231258
"-1,242,178,207,578,607,642,-2",2025.3224300869165
"-1,62,97,149,549,497,462,-2",2379.002491866778
"-1,346,333,400,800,733,746,-2",2945.522892094054
"-1,387,340,348,787,748,740,-2",1992.819751205605
"-1,191,368,114,768,514,591,-2",2204.1058267537546
"-1,177,295,311,711,577,695,-2",1095.423911032417
"-1,239,118,183,583,518,639,-2",1511.8909742919102
"-1,175,126,138,538,526,575,-2",1653.3472761530468
"-1,1,147,355,755,401,547,-2",2718.0183900362435
"-1,259,198,376,776,598,659,-2",1667.2246356590506
"-1,35,240,98,498,435,640,-2",1482.8010976276423
"-1,278,285,685,678,-2",1018.1656369374648
"-1,67,7,467,407,-2",764.8013465792562
"-1,366,226,105,505,766,626,-2",2136.706304519883
"-1,173,69,94,494,573,469,-2",2524.3489243973368
"-1,135,125,395,795,525,535,-2",1871.0532009128565
"-1,264,16,80,416,480,664,-2",1972.0104972524423
"-1,388,380,357,757,788,780,-2",2823.1261744662265
"-1,257,212,362,762,612,657,-2",1779.8904756726708
"-1,321,250,314,721,714,650,-2",2825.4945290145392
"-1,201,354,14,754,414,601,-2",1650.6968739369395
"-1,298,286,246,686,646,698,-2",1971.6136985955568
"-1,205,248,294,694,648,605,-2",1652.3029668964668
"-1,115,131,56,456,531,515,-2",924.9714498640554
"-1,159,195,325,595,725,559,-2",710.3664891098264
"-1,344,292,744,70,470,692,-2",1879.2630204385691
"-1,251,352,399,799,752,651,-2",2665.9737999513427
"-1,54,93,53,493,454,453,-2",2003.7132112515606
"-1,21,152,342,421,552,742,-2",1288.2645385141532
