sequence_of_nodes,cost
"-1,870,-2",812.8810432643579
"-1,913,-2",685.333601738355
"-1,919,-2",614.9701149052797
"-1,942,-2",425.964483072591
"-1,960,-2",388.1467282009985
"-1,970,-2",736.1436257128847
"-1,1022,-2",606.7947229347018
"-1,1030,-2",361.5591156361182
"-1,1036,-2",1944.2819951068723
"-1,1060,-2",930.7559133287805
"-1,1091,-2",543.5357746706707
"-1,1115,-2",292.97995273662355
"-1,1124,-2",587.8756069932655
"-1,1129,-2",567.8945009247643
"-1,1131,-2",651.4357236900718
"-1,1191,-2",572.3493239287789
"-1,110,89,489,510,-2",1013.4401470943216
"-1,74,96,496,474,-2",1018.7050336882213
"-1,320,29,429,720,-2",597.6714697158848
"-1,13,59,459,413,-2",1395.891961386124
"-1,241,185,641,585,-2",1975.2010122905447
"-1,272,369,769,672,-2",853.802014619642
"-1,383,91,783,491,-2",1118.944202368109
"-1,73,48,68,468,473,448,-2",1939.6974014312752
"-1,263,261,663,661,-2",862.4768270148676
"-1,51,83,176,576,451,483,-2",2034.9141605137831
"-1,231,154,631,554,-2",1895.82253532402
"-1,94,112,512,494,-2",1336.1788194009882
"-1,178,207,578,607,-2",1154.9945539489481
"-1,182,141,582,541,-2",728.2178254657867
"-1,188,312,712,588,-2",1138.298481066928
"-1,24,146,424,546,-2",1015.5912258237659
"-1,319,33,52,433,719,452,-2",1878.201384630221
"-1,394,50,175,575,794,450,-2",1734.0748886394745
"-1,262,100,255,500,655,662,-2",1014.8098733443971
"-1,229,296,310,696,629,710,-2",866.7444691401531
"-1,234,224,161,561,634,624,-2",2641.966640543218
"-1,34,84,85,485,434,484,-2",1502.7095484421152
"-1,258,186,586,658,-2",1147.592422323447
"-1,129,254,654,529,-2",883.4655116921524
"-1,105,226,505,155,555,626,-2",1854.975093197177
"-1,302,284,233,633,684,702,-2",2264.016285702134
"-1,121,77,108,521,508,477,-2",2746.6222338924526
"-1,156,92,143,543,492,556,-2",1810.3169268223162
"-1,240,98,35,640,435,498,-2",1439.0026699039347
"-1,148,213,107,507,548,613,-2",1025.318852243495
"-1,172,282,572,330,730,682,-2",1890.1377313364524
"-1,361,279,332,732,679,761,-2",2401.0276794998936
"-1,307,30,42,442,430,707,-2",1580.0323216685372
"-1,387,340,348,787,748,740,-2",1992.819751205605
"-1,177,295,311,711,577,695,-2",1095.423911032417
"-1,173,69,101,501,469,573,-2",2463.6379163661823
"-1,53,10,410,453,-2",1909.9323855049618
"-1,218,199,206,606,599,618,-2",1645.5467915826753
"-1,259,198,376,776,598,659,-2",1667.2246356590506
"-1,274,15,415,674,-2",2355.723466731194
"-1,67,7,467,407,-2",764.8013465792562
"-1,192,75,362,762,475,592,-2",1972.3475119149373
"-1,40,228,327,727,628,440,-2",2356.9296372550903
"-1,288,266,390,790,688,666,-2",2208.985840911816
"-1,205,248,294,694,648,605,-2",1652.3029668964668
"-1,239,118,183,583,518,639,-2",1511.8909742919102
"-1,393,318,356,756,718,793,-2",1932.6522061274154
"-1,136,150,193,593,550,536,-2",2438.5157018542136
"-1,278,285,685,678,-2",1018.1656369374648
"-1,251,352,399,799,752,651,-2",2665.9737999513427
"-1,133,353,25,753,425,533,-2",2149.4775634276994
"-1,264,16,80,416,480,664,-2",1972.0104972524423
"-1,1,61,17,417,461,401,-2",2181.662573406247
"-1,145,81,44,481,545,444,-2",1228.2983809764553
"-1,38,367,66,438,466,767,-2",1747.6456965127873
"-1,209,184,166,584,609,566,-2",1417.8777105855768
"-1,3,382,256,656,782,403,-2",1007.071749499536
"-1,210,267,300,700,667,610,-2",1766.5587437254435
"-1,171,232,336,736,632,571,-2",1820.5621359981722
"-1,21,152,342,421,552,742,-2",1288.2645385141532
"-1,102,381,237,637,502,781,-2",1815.656043526425
"-1,93,54,11,493,411,454,-2",1897.450692687676
"-1,273,276,384,784,673,676,-2",2912.2369698663465
"-1,304,358,392,792,758,704,-2",1672.1627845603255
"-1,115,131,56,456,531,515,-2",924.9714498640554
"-1,167,235,378,778,635,567,-2",1208.6615660309308
"-1,359,377,777,219,619,759,-2",2547.018147904487
"-1,283,350,374,774,750,683,-2",2329.3502685671806
"-1,65,49,328,728,465,449,-2",2210.6573262554575
"-1,355,62,97,755,497,462,-2",1916.9551398803894
"-1,249,313,270,649,670,713,-2",2159.4966812229004
"-1,22,4,128,528,422,404,-2",1700.155953410435
"-1,32,5,99,499,405,432,-2",1486.0066822472168
"-1,135,125,395,795,525,535,-2",1871.0532009128565
"-1,298,286,246,686,646,698,-2",1971.6136985955568
"-1,169,187,86,587,486,569,-2",1736.4625230396791
"-1,265,297,215,665,615,697,-2",1445.884607375733
"-1,159,195,325,595,725,559,-2",710.3664891098264
"-1,396,122,165,565,796,522,-2",3169.1862418555324
"-1,375,371,771,775,-2",1784.6114687015454
"-1,244,245,243,643,644,645,-2",3113.7976267597255
"-1,151,168,221,621,568,551,-2",2490.975937612247
"-1,46,120,242,642,520,446,-2",2841.4751481619273
"-1,164,162,269,669,562,564,-2",2511.6859768096747
"-1,223,277,271,671,623,677,-2",2367.6001000468045
"-1,163,179,211,611,579,563,-2",2556.5449980888247
"-1,28,79,116,516,428,479,-2",1986.7797669901684
"-1,326,104,103,503,726,504,-2",1648.2050731437207
"-1,317,253,289,653,689,717,-2",1727.2686359884228
"-1,31,26,111,431,426,511,-2",1870.349449709749
"-1,12,347,360,760,412,747,-2",2716.589910790324
"-1,379,365,41,441,765,779,-2",1961.1147631210865
"-1,337,301,299,699,701,737,-2",1447.0390073615272
"-1,134,343,149,549,743,534,-2",3036.298003216115
"-1,212,257,217,617,612,657,-2",1873.1938974243549
"-1,227,194,268,668,627,594,-2",1730.9990573114228
"-1,385,372,208,772,608,785,-2",1884.7534416472372
"-1,174,63,190,590,574,463,-2",1227.0860058094052
"-1,308,45,57,445,457,708,-2",976.4990508769553
"-1,250,321,314,721,714,650,-2",2782.079870563584
"-1,27,200,180,580,600,427,-2",2572.8034285329654
"-1,191,368,114,768,514,591,-2",2204.1058267537546
"-1,323,364,322,764,722,723,-2",1607.1876142922206
"-1,9,23,344,744,409,423,-2",1902.3031953702614
"-1,247,2,220,620,647,402,-2",1900.015620913206
"-1,47,8,55,455,408,447,-2",1584.155539554487
"-1,147,72,204,604,547,472,-2",2438.8888034166157
"-1,71,20,19,420,419,471,-2",1591.6792851154162
"-1,380,388,357,757,788,780,-2",2801.4088215361608
"-1,346,333,400,800,733,746,-2",2945.522892094054
"-1,373,349,363,763,749,773,-2",2854.9293029718024
"-1,252,309,287,687,652,709,-2",2377.22450020994
"-1,316,345,339,739,745,716,-2",2433.385801787965
"-1,197,303,87,487,703,597,-2",2064.80985075392
"-1,36,157,106,557,436,506,-2",1761.6075506471311
"-1,202,76,109,476,509,602,-2",982.5007364398525
"-1,275,290,6,406,675,690,-2",2543.8307751768
"-1,386,334,351,734,786,751,-2",2030.4865535922181
"-1,354,130,90,530,490,754,-2",2004.6093754473702
"-1,18,124,39,524,439,418,-2",2101.731459160024
"-1,64,181,132,581,464,532,-2",2299.9252580813245
"-1,306,43,117,517,443,706,-2",2145.801545810855
"-1,238,144,280,680,544,638,-2",2455.541049589411
"-1,366,214,37,437,766,614,-2",2194.1330481486602
"-1,189,82,88,488,482,589,-2",2751.8473055696736
"-1,305,60,123,523,460,705,-2",1908.5719585374534
"-1,292,126,138,538,526,692,-2",1437.130817487104
"-1,370,398,338,738,798,770,-2",2362.0817560432806
"-1,335,137,397,797,537,735,-2",2229.947565139884
"-1,140,153,225,553,540,625,-2",2347.3881979987395
"-1,341,158,95,558,741,495,-2",1716.5060111565288
"-1,139,203,196,596,603,539,-2",1636.2324702249157
"-1,78,58,216,616,458,478,-2",2709.7816621079396
"-1,281,293,389,789,681,693,-2",2106.418897783784
"-1,14,201,127,527,601,414,-2",1730.562984436995
