         370323934 function calls (362937658 primitive calls) in 471.740 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 14510358  117.172    0.000  130.486    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:707(__init__)
       20   78.422    3.921  235.557   11.778 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_rmp.py:77(_build_master_problem)
  2202927   37.150    0.000   37.150    0.000 {built-in method builtins.hash}
  1664119   33.417    0.000   58.221    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:204(calculate_better_lb_2)
  1009328   20.203    0.000   28.726    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:17(__init__)
  1360826   12.318    0.000   15.568    0.000 {built-in method builtins.sorted}
 79962496   10.257    0.000   13.153    0.000 {built-in method builtins.isinstance}
  1018135    9.695    0.000   46.702    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:8(__init__)
       19    8.463    0.445  218.378   11.494 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:305(find_min_reduced_cost_path)
  2318929    7.988    0.000   11.825    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:101(calculate_red_cost_given_dual)
       59    7.214    0.122    7.214    0.122 {built-in method _winapi.WaitForSingleObject}
7256838/49050    7.021    0.000    9.990    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:890(addInPlace)
    49591    6.936    0.000    6.972    0.000 {built-in method builtins.print}
  1351829    6.820    0.000  116.591    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:356(expand_given_action)
  1360035    6.249    0.000   11.737    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:312(violates_min_resources)
  7253499    6.002    0.000   26.967    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:956(__mul__)
  1017356    5.886    0.000    6.704    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:187(_get_head_stat_vec)
  7253499    5.503    0.000  148.058    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:240(__rmul__)
  1017356    5.399    0.000    8.800    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:342(fast_max_res_apply)
      361    4.841    0.013   36.019    0.100 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:226(update_red_cost_and_lb)
  1360035    4.281    0.000   78.396    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:196(get_head_state_fast_load_ai)
  2525351    3.670    0.000    3.670    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1053810    3.586    0.000    3.586    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      361    3.347    0.009    6.002    0.017 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:642(_remove_labels_with_positive_lb)
  7253499    3.291    0.000   18.184    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\pulp\pulp.py:765(emptyCopy)
