         1073431 function calls in 1.459 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.262    0.262    1.459    1.459 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:860(_create_actions_with_edge_pair)
    61934    0.471    0.000    0.583    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:28(__init__)
    20350    0.105    0.000    0.461    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:600(_create_dropoff_to_dropoff_actions)
    21791    0.108    0.000    0.364    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:476(_create_pickup_to_pickup_actions)
    19696    0.096    0.000    0.329    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:524(_create_pickup_to_dropoff_actions)
   371604    0.233    0.000    0.233    0.000 {built-in method numpy.array}
    61934    0.012    0.000    0.079    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:984(_default_contribution_vector)
    61934    0.067    0.000    0.067    0.000 {built-in method numpy.zeros}
    61935    0.033    0.000    0.041    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1160(__iter__)
    61937    0.019    0.000    0.019    0.000 {method 'add' of 'set' objects}
    61934    0.011    0.000    0.011    0.000 {built-in method builtins.hash}
    61934    0.010    0.000    0.010    0.000 {method 'keys' of 'dict' objects}
    61934    0.010    0.000    0.010    0.000 {method 'values' of 'dict' objects}
       15    0.000    0.000    0.006    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1464(display)
       14    0.000    0.000    0.006    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1325(refresh)
       13    0.000    0.000    0.006    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1198(update)
    61934    0.006    0.000    0.006    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:367(_full_resource_vec)
    61934    0.005    0.000    0.005    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:364(_empty_resource_vec)
       15    0.000    0.000    0.003    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:457(print_status)
