         13481895 function calls (13481894 primitive calls) in 13.307 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    2.485    1.242    6.549    6.549 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:835(_create_actions_with_edge_pair)
   217984    1.610    0.000    3.367    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:28(__init__)
   653952    1.624    0.000    3.344    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\helper.py:50(dict_2_vec)
    54938    0.517    0.000    2.859    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:453(_create_pickup_to_pickup_actions)
    55076    0.408    0.000    2.684    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:572(_create_dropoff_to_dropoff_actions)
    52894    0.457    0.000    2.678    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:495(_create_pickup_to_dropoff_actions)
    55076    0.496    0.000    2.402    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:531(_create_dropoff_to_pickup_actions)
  2179840    1.337    0.000    1.337    0.000 {built-in method numpy.array}
   653952    1.273    0.000    1.273    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\collections\__init__.py:999(__init__)
   435968    0.143    0.000    1.190    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:1881(nonzero)
   435968    0.203    0.000    1.047    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:53(_wrapfunc)
   435968    0.782    0.000    0.782    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
   653952    0.404    0.000    0.560    0.000 {method 'sort' of 'list' objects}
   217984    0.053    0.000    0.417    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:958(_default_contribution_vector)
   217984    0.364    0.000    0.364    0.000 {built-in method numpy.zeros}
  1883979    0.235    0.000    0.235    0.000 {method 'append' of 'list' objects}
   217984    0.116    0.000    0.232    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\helper.py:86(LOAD_AI_partial_map_2_indices_applied)
   229473    0.144    0.000    0.197    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1160(__iter__)
  1883979    0.155    0.000    0.155    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\helper.py:62(<lambda>)
   653952    0.104    0.000    0.104    0.000 {method 'items' of 'dict' objects}
   217993    0.071    0.000    0.071    0.000 {method 'add' of 'set' objects}
   435980    0.062    0.000    0.062    0.000 {built-in method builtins.getattr}
      119    0.001    0.000    0.049    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1198(update)
      120    0.000    0.000    0.048    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1325(refresh)
   435968    0.048    0.000    0.048    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:1877(_nonzero_dispatcher)
      121    0.000    0.000    0.046    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:1464(display)
   217984    0.041    0.000    0.041    0.000 {built-in method builtins.hash}
   217984    0.040    0.000    0.040    0.000 {method 'keys' of 'dict' objects}
   217984    0.038    0.000    0.038    0.000 {method 'values' of 'dict' objects}
      121    0.000    0.000    0.025    0.000 C:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\tqdm\std.py:457(print_status)
   217984    0.022    0.000    0.022    0.000 c:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\problems\loadAI_cg.py:343(_full_resource_vec)
