Timer unit: seconds

File: C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\cg_solver.py
Function: solve at line 225
Total time: 38.022473 s

Line #      Hits         Time(s)  Per Hit(s)   % Time  Line Contents
==============================================================
     308         4    25.256771   6.314193     66.4                  routes= jy_fast_pricer.run()
     274         4     5.938481   1.484620     15.6                  output,list_of_routes, node_sequence_of_routes = cg_solver.solve_2()
     267         4     4.049932   1.012483     10.7              cg_solver = CG_RMP(list_of_routes,node_sequence_of_routes,self.rhs_exog_vec,self.state_update_module,forbidden_omega,self.initial_resource_vector)
     339         1     1.172557   1.172557      3.1                          ilp_cg_solver = CG_RMP(list_of_routes,node_sequence_of_routes,self.rhs_exog_vec,self.state_update_module,forbidden_omega,self.initial_resource_vector)
     341         1     0.696631   0.696631      1.8                          sol = ilp_cg_solver.solve_ilp()
     307         4     0.249223   0.062306      0.7                  jy_fast_pricer = jy_fast_pricing(self.actions,self.action_dict,this_dual,jy_init_res_state,self.jy_options_user_defined['max_actions_in_route'],jy_actions_node,self.nodes,self.neighbors, self.benefit_group,self.benefit_group_cost,self.jy_options_user_defined)
     367        65     0.127975   0.001969      0.3                              print([s.state_vec[:2] for s in route.just_states_ordered])
     251         1     0.061670   0.061670      0.2          list_of_routes = self._initial_routes()
     353        64     0.059726   0.000933      0.2                              print(route.node_in_ordered)
     300        56     0.054324   0.000970      0.1                      print(f'value:{value}, red_cost:{red_cost}')
     427        12     0.045368   0.003781      0.1                                          this_sub_route = Route(state_action_alt_repeat,1,self.state_update_module.pickup_node)
     358         8     0.039215   0.004902      0.1                              valid = self.validate_route(route)
     421        60     0.028619   0.000477      0.1                                                  new_state = this_a.get_head_state_fast_load_ai(cur_state,1)
     406        18     0.018854   0.001047      0.0                          print('route added')
     407        18     0.018418   0.001023      0.0                          print(route.node_in_ordered)
     244      1621     0.014063   0.000009      0.0          self.action_id_2_actions={my_action.action_id: my_action for my_action in self.actions}
     357         8     0.012502   0.001563      0.0                              print(route.node_in_ordered)
     374        65     0.009352   0.000144      0.0                              print([s.state_vec[0] for s in route.just_states_ordered])
     376        65     0.008814   0.000136      0.0                              print([s.state_vec[1] for s in route.just_states_ordered])
