         1356890 function calls (1353071 primitive calls) in 6.097 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    395/7    2.272    0.006    1.909    0.273 {method 'acquire' of '_thread.lock' objects}
        2    1.909    0.955    1.909    0.955 {built-in method _xpress._init}
        7    0.208    0.030    0.208    0.030 {method 'recv' of '_socket.socket' objects}
     2005    0.178    0.000    0.183    0.000 {built-in method builtins.print}
    11492    0.174    0.000    0.273    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:17(__init__)
       29    0.115    0.004    0.116    0.004 {method 'solve' of 'xpress.problem' objects}
    12279    0.079    0.000    0.120    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:342(fast_max_res_apply)
    14768    0.077    0.000    0.086    0.000 {built-in method builtins.sum}
    12829    0.074    0.000    0.155    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:204(calculate_better_lb_2)
    14599    0.068    0.000    0.126    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:312(violates_min_resources)
    14178    0.052    0.000    0.079    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:101(calculate_red_cost_given_dual)
    14599    0.049    0.000    0.406    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:196(get_head_state_fast_load_ai)
    12279    0.046    0.000    0.058    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:187(_get_head_stat_vec)
    13784    0.044    0.000    0.739    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:351(expand_given_action)
    79/56    0.043    0.001    8.672    0.155 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\queue.py:154(get)
    29057    0.042    0.000    0.042    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       28    0.037    0.001    0.113    0.004 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\algorithm\xz_jy_cg_solver_via.py:84(_construct_problem)
    11273    0.037    0.000    0.038    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\action.py:103(comp_red_cost)
    12380    0.036    0.000    0.052    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\state.py:8(__init__)
    26990    0.033    0.000    0.077    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:71(_wrapreduction)
     5716    0.033    0.000    0.033    0.000 {method 'getSolution' of 'xpress.problem' objects}
       12    0.032    0.003    0.580    0.048 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:314(find_min_reduced_cost_path)
   228063    0.031    0.000    0.031    0.000 {method 'append' of 'list' objects}
    11480    0.030    0.000    0.036    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\numeric.py:67(zeros_like)
223829/220549    0.027    0.000    0.028    0.000 {built-in method builtins.len}
     4600    0.021    0.000    0.021    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
       89    0.020    0.000    8.125    0.091 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
    26878    0.019    0.000    0.095    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py:2322(any)
    19397    0.018    0.000    0.018    0.000 {built-in method builtins.hash}
     1824    0.015    0.000    0.034    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\traceback.py:1129(_levenshtein_distance)
   106314    0.014    0.000    0.014    0.000 {built-in method time.time}
       12    0.014    0.001    0.018    0.002 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:673(pre_process__partition_actions)
       41    0.012    0.000    1.795    0.044 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
     3222    0.012    0.000    0.028    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:706(get_actions_from_label_2)
    12279    0.011    0.000    0.011    0.000 {method 'copy' of 'numpy.ndarray' objects}
    11581    0.010    0.000    0.010    0.000 {built-in method numpy.array}
    11826    0.009    0.000    0.009    0.000 {built-in method builtins.sorted}
    60812    0.008    0.000    0.008    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_label.py:105(<genexpr>)
       12    0.008    0.001    0.011    0.001 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:169(initiate_RCP_d)
    22960    0.008    0.000    0.008    0.000 {built-in method numpy.zeros}
    41076    0.007    0.000    0.007    0.000 {built-in method builtins.min}
    19616    0.007    0.000    0.011    0.000 c:\Users\Xiaohang\AppData\Local\Programs\Python\Python312\Lib\traceback.py:1059(_substitution_cost)
    28560    0.006    0.000    0.006    0.000 {method 'add' of 'set' objects}
     4600    0.005    0.000    0.027    0.000 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:85(label_2_tuple)
    28316    0.005    0.000    0.005    0.000 {method 'items' of 'dict' objects}
       35    0.005    0.000    0.050    0.001 C:\Users\Xiaohang\Downloads\jy_graphmaster 10\jy_graphmaster\src\common\jy_fast_pricing.py:226(update_red_cost_and_lb)
       57    0.004    0.000    0.004    0.000 {method 'addVariable' of 'xpress.problem' objects}
    38734    0.004    0.000    0.004    0.000 {method 'lower' of 'str' objects}
